,,DATA INFRASTRUKTUR BENDUNG SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Bendung,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,,IV. MANFAAT,,,V. DATA TEKNIS,,,,V. DATA TEKNIS,,,,,,VI. KOORDINAT,,,,,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten / Kota,Kecamatan,Kelurahan / Desa,Irigasi (ha),Manfaat DMI (Ha),PLN,Nama Sungai,Jenis Bendung,Tinggi (m),Lebar (m),Kondisi,Debit Intake (Hujan) m3/dtk,Debit Intake (Kemarau) m3/dtk,Tahun Pembuatan,Tahun Rehab Terakhir,APBN,Desimal,,,,,,,,,,GPS,,UTM,
,,,,,,,,,,,,,,,,,,,,,,,S°,E°,°,',"""",°,',"""",,,LS,BT,X,Y
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,,,,26,27,28,29
1,Bendung Wundulako,Towari - Lasusua,DAS Mekongga,1,8,740400001,Kolaka,Wundulako,Silea,2032,-,-,Mekongga,Tetap,2.5,21,Baik, - , - ,1974 - 1977,2015,APBN,-4.127044,121.700228,,,,,,,,,"4°7'37.358""","121°42'0.821""",355728.1306,9543711.936
2,Bendung Laeya,Lasolo - Konaweha,DAS Konaweha,1,8,740500001,Konawe Selatan,Ranomeeto,Boro-boro,"1,391",-,-,Laeya,Tetap,4,31,Baik,"3,000",700,1974-1975,2013,APBN,-4.085079,122.348437,,,,,,,,,"4°5'6.284""","122°20'54.373""",427678.772,9548439.06
3,Bendung Lapoa,Poleang - Roraya,DAS Roraya,1,8,740500002,Konawe Selatan,Tinaggea,Roraya,645,-,-,Lapoa,Tetap,2,,Baik, - , - ,1974-1975,-,APBN,-4.455401,122.164141,122,15,3.32,4,5,40.36,122.250922,4.094544,"4°27'19.444""","122°9'50.908""",407265.7431,9507481.817
4,Bendung Meluhu,Lasolo - Konaweha,DAS Konaweha,1,8,740300001,Konawe,Meluhu,Meluhu,371,-,-,Meluhu,Tetap,3,35,Baik,"28,564",0.045,1974-1975,-,APBN,-3.810101,122.193941,122,2,32.75,3,52,34.41,122.042431,3.876225,"3°48'36.364""","122°11'38.188""",410499.7907,9578821.296
5,Bendung Kasipute,Poleang - Roraya,DAS Kasipute,1,8,740600001,Bombana,Rumbia,Lameroro,657,-,-,Kasipute,Tetap,1.8,8.2,Baik, - , - ,1975-1976,-,APBN,-4.740953,122.00686,122,15,4.3,4,7,0.3,122.251194,4.11675,"4°44'27.431""","122°0'24.696""",389858.4964,9475891.351
6,Bendung Roraya 1,Poleang - Roraya,DAS Roraya,1,8,740500003,Konawe Selatan,Baito,Baito,842,-,-,Roraya,Tetap,2,8,Baik, - , - ,1976-1977,2015,APBN,-4.21184,122.322126,,,,,,,,,"4°12'42.624""","122°19'19.654""",424770.2029,9534424.033
7,Bendung Roraya III,Poleang - Roraya,DAS Laeya,1,8,740500004,Konawe Selatan,Baito,Baito,847,-,-,Aosole,Tetap,18,1.5,Baik, - , - ,1976,2014,APBN,-4.235644,122.331034,,,,,,,,,"4°14'8.318""","122°19'51.722""",425761.112,9531793.508
8,Bendung Amoito,Lasolo - Konaweha,DAS Konaweha,1,8,740500005,Konawe Selatan,Ranomeeto Barat,Amoito,313,-,-,Amoito,Tetap,1.5,10.8,Baik,-,-,1977-1984,-,APBN,-4.100411,122.380328,122,11,37.59,3,48,36.6,122.193775,3.810167,"4°6'1.480""","122°22'49.181""",431220.0115,9546747.025
9,Bendung Amotowo,Lasolo - Konaweha,DAS Konaweha,1,8,740500006,Konawe Selatan,Landono,Amotowo,265,-,-,Amatowo,Tetap,1.5,11.45,Baik,-,-,1978-1979,-,APBN,-4.101902,122.291398,122,15,42.79,3,54,29.97,122.261886,3.908325,"4°6'6.847""","122°17'29.033""",421348.9744,9546574.022
10,Bendung Landono,Lasolo - Konaweha,DAS Konaweha,1,8,740500007,Konawe Selatan,Landono,Wata Benua,245,-,-,Landono,Tetap,1.5,9.3,Baik,-,-,1978-1979,-,APBN,-4.068596,122.293235,,,,,,,,,"4° 4'6.95""","122°17'35.65""",421549.77,9550255.85
11,Bendung Moramo,Poleang - Roraya,DAS Moramo,1,8,740500008,Konawe Selatan,Moramo,Marga Cinta,240,-,-,Moramo,Tetap,2.7,,Baik, - , - ,1979-1980,-,APBN,-4.182835,122.651136,,,,,,,,,"4°10'58.206""","122°39'4.090""",461282.6451,9537654.218
12,Bendung Tanea Lama,Poleang - Roraya,DAS Wanggu,1,8,740500009,Konawe Selatan,Konda,Lalowiu,195,-,-,Wanggu,Tetap,1.5,,Baik, - , - ,1979-1980,-,APBN,-4.085788,122.490798,,,,,,,,,"4°5'8.837""","122°29'26.873""",443480.8703,9548372.09
13,Bendung Wonco,Buton,DAS Wonco,1,8,747200001,Bau - Bau,Bungi,Ngkari-Ngkari,528,-,-,Wonco,Tetap,1,12,Baik,"1,500",900,1979-1980,2016,APBN,-5.357841,122.712529,122,1,11.36,3,53,14.86,122.019822,3.887461,"5°21'28.228""","122°42'45.104""",468150.3723,9407772.823
14,Bendung Wonco II,Buton,DAS Wonco,1,8,747200002,Bau - Bau,Bungi,Waliabuku,176,-,-,Wonco,Tetap,2,13.5,Baik,"1,200",700,1980 - 1981,2015,APBN,-5.36915,122.698497,121,57,40.18,3,46,15.26,121.961161,3.770906,"5°22'8.940""","122°41'54.589""",466596.3331,9406521.965
15,Bendung Kolasa,Muna,DAS Wasolangka,1,8,740200001,Muna,Parigi,Kolasa,225,-,-,Wasolangka,Tetap,1,,Baik, - , - ,1980,-,APBN,-5.066746,122.484756,,,,,,,,,"5°4'0.286""","122°29'5.122""",442888.0212,9439935.015
16,Bendung Mowila I,Lasolo - Konaweha,DAS Konaweha,1,8,740500010,Konawe Selatan,Mowila,Mulya Sari,73,-,-,Endonga,Tetap,1.2,6,Baik,-,-,1980,2015,APBN,-4.116821,122.251254,121,53,32.78,4,8,53.68,121.892439,4.148244,"4°7'0.556""","122°55'4.514""",416894.504,9544920.745
17,Bendung Wolasi,Poleang - Roraya,DAS Laeya,1,8,740500011,Konawe Selatan,Wolasi,Ambesinauwi,92,-,-,Laeya,Tetap,2,,Baik, - ,-,1981-1982,-,APBN,-4.21047,122.508948,,,,,,,,,"4°12'37.692""","122°30'32.213""",445504.0332,9534591.007
18,Bendung Ranomeeto,Poleang - Roraya,DAS Wanggu,1,8,740500012,Konawe Selatan,Ranomeeto,Ranomeeto,151,-,-,Wanggu,Tetap,1.5,,Baik, - , - ,1981-1982,-,APBN,-4.049221,122.459818,121,42,0.82,4,7,37.36,121.700228,4.127044,"4°2'57.196""","122°27'35.345""",440039.4279,9552411.982
19,Bendung Lawele,Buton,DAS Lawele,1,8,740100001,Buton,Lasalimu,Benteng,267,-,-,Lawele,Tetap,1.4,10.5,Baik,1,0.7,1982,-,APBN,-5.244258,122.931572,,,,,,,,,"5°14'39.329""","122°55'53.659""",492417.3359,9420335.28
20,Bendung Wawotobi,Lasolo - Konaweha,DAS Konaweha,1,8,740500013,Konawe Selatan,Unaaha,Anggopiu,"12,703",-,-,Konaweha,Tetap,3,99,Baik,-,-,1982,2015,APBN,-3.876053,122.042616,121,39,4.21,4,6,47.27,121.651169,4.113131,"3°52'33.791""","122°2'33.418""",393704.252,9420335.28
21,Bendung Konda,Poleang - Roraya,DAS Wanggu,1,8,740500014,Konawe Selatan,Konda,Lamomea,121,-,-,Konda,Tetap,2,,Baik, - , - ,1982-1983,-,APBN,-4.093524,122.437664,,,,,,,,,"4°5'36.686""","122°26'15.590""",437583.6542,9547513.015
22,Bendung Kapontori,Buton,DAS Labelaga,1,8,740100002,Buton,Kapontori,Kapontori,239,-,-,Labelaga,Tetap,1,5,Baik,1," 0,5 s/d 0.6 ",1982-1983,-,APBN,-5.217778,122.827944,,,,,,,,,"5°13'4.001""","122°49'40.598""",480933.2534,9423260.17
23,Bendung Pamandati,Poleang - Roraya,DAS Windo,1,8,740500015,Konawe Selatan,Lainea,Watumeeto,89,-,-,Windo,Tetap,3,13,Baik,"1,500",300,1982-1983,2015,APBN,-4.365551,122.568595,,,,,,,,,"4°21'55.984""","122°34'6.942""",452133.3219,9517452.364
24,Bendung Atari lama,Poleang - Roraya,DAS Roraya,1,8,740500016,Konawe Selatan,Lambandia,Bou,208,-,-,Mandumandula,Tetap,1.5,,Baik, - , - ,1983-1984,-,APBN,-4.362043,121.985288,,,,,,,,,"4°21'43.355""","121°59'7.037""",387406.9885,9517778.005
25,Bendung Wakalambe,Buton,DAS Wakalambe,1,8,740100003,Buton,Kapontori,Wakalambe,187,-,-,Wakalambe,Tetap,2.5,10,Baik,1,0.5,1983-1984,-,APBN,-5.273039,122.735935,,,,,,,,,"5°16'22.940""","122°41'9.366""",470739.5979,9417148.063
26,Bendung Simbune Bawah,Lasolo - Konaweha,DAS Konaweha,1,8,741100001,Kolaka Timur,Loea,Lalowura,432,-,-,Lalowura,Tetap,1.5,12,Baik,-,-,1984 - 1985,-,APBN,-4.08554,121.902091,,,,,,,,,"4°5'7.944""","121°54'7.528""",378131.1722,9548334.201
27,Bendung Wonco III,Buton,DAS Wonco,1,8,747200003,Bau - Bau,Bungi,Kampeonaho,194,-,-,Wonco,Tetap,1.15,10,Baik,"2,000","1,100",1984-1985,2014,APBN,-5.342701,122.697698,,,,,,,,,"5°20'33.724""","122°41'51.713""",466506.3708,9409445.627
28,Bendung Baito,Poleang - Roraya,DAS Aosole,1,8,740500017,Konawe Selatan,Baito,Ahuangguluri,280,-,-,Baito,tetap,1.5,6,baik, - , - ,1985-1986,2015,APBN,-4.2179,122.314817,,,,,,,,,"4°13'4.440""","122°18'53.341""",423959.6077,9533753.428
29,Bendung Katangana,Muna,DAS katangana,1,8,741500001,Muna Barat,Tiworo Selatan,Katangana,290,-,-,Katangana,Tetap,2,11.5,Baik, - , - ,1985-1986,-,APBN,-4.860133,122.401918,,,,,,,,,"4°51'36.479""","122°24'6.905""",433684.9461,9462767.031
30,Bendung Tanea Baru,Poleang - Roraya,DAS Wanggu,1,8,740500018,Konawe Selatan,Konda,Lawoila,33,-,-,Wanggu,Tetap,1,,Baik, - ,-,1985-1986,-,APBN,-4.115764,122.518435,,,,,,,,,"4°6'56.750""","122°31'6.366""",446550.5185,9545060.444
31,Bendung Taubonto,Poleang - Roraya,DAS Langkapa,1,8,740600002,Bombana,Rarowatu,Pangkuri,292,-,-,Langkapa,Tetap,3,,Baik, - , - ,1985-1986,-,APBN,-4.695476,121.853519,,,,,,,,,"4°41'43.714""","121°51'12.668""",372842.2478,9480893.017
32,Bendung Dana Mulya Landono,Poleang - Roraya,DAS Aosole,1,8,740500019,Konawe Selatan,Landono,Wata Benua,229,-,-,Amotowo,Tetap,1.5,18,Baik, - , - ,1986,2015,APBN,-4.071818,122.291071,,,,,,,,,"4°4'18.545""","122°17'27.856""",421309.7446,9549899.599
33,Bendung Mowila 2,Lasolo - Konaweha,DAS Konaweha,1,8,740500020,Konawe Selatan,Mowila,Tetesingi,679,-,-,Paramowila,Tetap,2,13,Baik,-,-,1987,2015,APBN,-4.094547,122.2509,,,,,,,,,"4°5'40.369""","122°15'3.240""",416852.9053,9547382.991
34,Bendung Tukambopo,Lasolo - Konaweha,DAS Konaweha,1,8,740300002,Konawe,Amonggedo,Wawohine,499,-,-,Wawohine,Tetap,2.5,20,Baik,0.9,0.065,1990,-,APBN,-3.908286,122.261896,,,,,,,,,"3°54'29.830""","122°15'42.826""",418054.9745,9567974.269
35,Bendung Benua / Werahi,Lasolo - Konaweha,DAS Konaweha,1,8,740300003,Konawe,Amonggedo,Mendikonu,"1,070",-,-,Benua,Tetap,2.5,20.5,Baik,"7,416",0.089,1991,-,APBN,-3.897658,122.245089,,,,,,,,,"3°53'51.569""","122°14'42.320""",416187.8848,9569147.481
36,Bendung Amonggedo,Lasolo - Konaweha,DAS Konaweha,1,8,740300004,Konawe,Amonggedo,Amonggedo,664,-,-,Amonggedo,Tetap,2.5,8.95,Baik,17,0.052,1991,-,APBN,-3.892079,122.218911,,,,,,,,,"3°53'31.484""","122°13'8.080""",413280.7898,9569761.566
37,Bendung Ameroro ,Lasolo - Konaweha,DAS Konaweha,1,8,740300005,Konawe  ,Uepi,Rawua,"1,500",-,-,Ameroro,Tetap,2.5,21,Baik,-,-,1991,-,APBN,-3.887461,122.019822,122,3,34.3,4,20,29.5,122.059528,4.341528,"3°53'14.860""","122°1'11.359""",391174.7133,9570249.028
38,Bendung Asolu,Lasolo - Konaweha,DAS Konaweha,1,8,740300006,Konawe,Abuki,Asolu,130,-,-,Asolu,Tetap,1.5,20,Baik,-,-,1991,-,APBN,-3.648194,121.873032,,,,,,,,,"3°38'53.498""","121°52'22.915""",374841.0447,9596681.152
39,Bendung Walay,Lasolo - Konaweha,DAS Konaweha,1,8,740300007,Konawe,Abuki,Unaasi Jaya,"2,745",-,-,Lahumbuti,Tetap,2.5,30,Baik,-,-,1991 - 1992,-,APBN,-3.770906,121.961161,,,,,,,,,"3°46'15.262""","121°57'40.180""",384645.5186,9583126.766
40,Bendung Poleang,Poleang - Roraya,DAS Poleang,1,8,740600003,Bombana,Poleang Utara,Tampawulu,"2,530",-,-,Poleang,Tetap,3,35,Baik, - , - ,1991,-,APBN,-4.727894,121.706871,121,42,24.74,4,43,40.42,121.706872,4.727894,"4°43'40.418""","121°42'24.736""",356581.3788,9477280.349
41,Bendung Watumokala,Poleang - Roraya,DAS Roraya,1,8,740500021,Konawe Selatan,Andoolo,BEKENGGASU INDAH,250,-,-,Watumokala,Tetap,12.5,,Baik, - ,-,1991,-,APBN,-4.317959,122.139789,,,,,,,,,"4°19'4.652""","122°8'23.240""",404546.3655,9522672.777
42,Bendung Kambara,Muna,DAS katangana,1,8,740200002,Muna,Sawerigadi,Lawada Jaya,840,-,-,Katangana,Tetap,2,,Baik, - ,-,1994-1995,-,APBN,-4.8654,122.446087,,,,,,,,,"4°51'55.440""","122°26'45.913""",438583.0189,9462188.972
43,Bendung Lupia,Muna,DAS Lamanu,1,8,740200003,Muna,Kabawo,Bea,125,-,-,Wakobalu,Tetap,1.5,,Baik, - , - ,1995-1996,-,APBN,-4.968141,122.494963,,,,,,,,,"4°58'5.308""","122°29'41.867""",444011.0374,9450835.977
45,Bendung Ladongi,Lasolo - Konaweha,DAS Konaweha,1,8,741100002,Kolaka Timur,Ladongi,Atula,"3,600",-,-,Ladongi,Tetap,2.75,18,Baik,-,-,1995,2015,APBN,-4.148095,121.892506,,,,,,,,,"4°8'53.142""","121°53'33.022""",377076.6957,9541416.89
46,Bendung Benua Aporo,Poleang - Roraya,DAS Roraya,1,8,740500022,Konawe selatan,Lalembu,Teteinea Jaya,"1,000",-,-,Roraya,Tetap,3.5,30,Baik, - , - ,2004 - 2008,-,APBN,-4.341592,122.059791,,,,,,,,,"4°20'29.731""","122°3'35.248""",395671.8353,9520049.618
47,Bendung Lambandia,Towari - Lasusua,DAS Konaweha,1,8,740400002,Kolaka,Lambandia,Penanggo Jaya,"1,800",-,-,Lambandia,Tetap,1.75,26,Baik, - , - ,2012,2016,APBN,-4.308687,121.967904,,,,,,,,,"4°18'31.273""","121°58'4.454""",385469.8109,9523674.116
48,Bendung Sabiano,Towari - Lasusua,DAS Mekongga,1,8,740400003,Kolaka,Wundulako,Una Mendaa,400,-,-,Mekongga,Tetap,2,17,Baik, - , - ,2012,2012,APBN,-4.113131,121.651169,,,,,,,,,"4°6'47.272""","121°39'4.208""",350279.1015,9545241.184
49,Bendung Oko -Oko,Towari - Lasusua,DAS Oko-oko,1,8,740400004,Kolaka,Pomalaa,Oko-oko,750,-,-,Oko-oko,Tetap,1.5,12,Baik, - , - ,2012,-,APBN,-4.305106,121.589848,,,,,,,,,"4°18'18.382""","121°35'23.453""",343509.4529,9524002.869
50,Bendung Iwoikondo,Lasolo - Konaweha,DAS Konaweha,1,8,741100003,Kolaka Timur,Loea,Peatoa,115,-,-,Petoa,Tetap,1.5,12,Baik,-,-,,-,APBN,-4.092328,121.931212,,,,,,,,,"4°5'32.381""","121°55'52.363""",381365.0049,9547588.11
51,Bendung Landono II,Lasolo - Konaweha,DAS Konaweha,1,8,740500023,Konawe Selatan,Landono,Lakomea,69,-,-,Landono,Tetap,1.5,15.25,Baik,-,-,,-,APBN,-4.062787,122.302027,,,,,,,,,"4°3'46.033""","122°18'7.297""",422525.045,9550898.98
52,Bendung Tongauna,Lasolo - Konaweha,DAS Konaweha,1,8,741100004,Kolaka Timur,Uesi,Tonggauna,"3,065",-,-,Mokoseo,Tetap,2,36,Baik,4.377,-,2015,-,APBN,-3.464778,121.461194,,,,,,,,,"3°27'53.201""","121°27'40.298""",329059.7767,9616894.491
